How many trees are on Swanton Pacific Ranch?	More than a thousand but less than 10 million. Countless. A gazillion
How many trees were there before the fires in 2020?	More than a thousand but less than 10 million. Countless. A gazillion
What is the most common tree species at SPR?	Coast live oak
How old is the oldest tree at SPR? 	1200 year stem; 5,000 year old roots
What biome/ecosystem/ecotype covers the greatest area at SPR?	Coastal
When did Valencia Creek become a part of SPR?	Al Swanton purchased Valencia creek in 1993
How did Cal Poly get Swanton Pacific Ranch?	Swanton Pacific Ranch was donated to Cal Poly by Cal Poly alumnus Al Smith.
How big is Swanton Pacific Ranch?	Swanton Pacific Ranch is 3200 acres.
Is Swanton Pacific Ranch open to the public?	No, except during specific times, such as: apple picking in the Fall, Al Smith Days, Cal Poly Days, and Swanton Pacific Railroad Days.
Can I camp or hike in Swanton Pacific Ranch?	The property is a private research and educational ranch and is not open to the public.
May I camp or hike in Swanton Pacific Ranch?	The property is a private research and educational ranch and is not open to the public.
When is Swanton Pacific Ranch open to the public?	Swanton Pacific Ranch is open to the public during special events held by Cal Poly or Swanton Pacific Railroad, and when apples are for sale.
What was the original name of Swanton Pacific Ranch?	The original Spanish-Mexican name was Rancho Agua Puerca y Las Trancas.
What is a fun fact about the Rancho?	Due to an English translation error during a legal proceeding regarding ownership the land grant's boundaries were described in a way that the northeasterly boundary would have included Modesto, California.
How do I learn more about Swanton Pacific Ranch?	To learn more about the ranch, search for Swanton Pacific Ranch California in your internet browser.
What is the Green House used for?	The Green House, or Casa Verde, contains offices and computer for Ranch staff, and a kitchen and dining room facility for Cal Poly students interns and students. It is one of the few buildings that survived the 2020 CZU Lightning Fire.
What is Casa Verde used for?	Casa Verde, or the Green House, contains offices and computer for Ranch staff and a kitchen and dining room facility for Cal Poly students interns and students. It is one of the few buildings that survived the 2020 CZU Lightning Fire.
What can you tell me about the Green House?	The Green House was built as a house for dairy operations on the Ranch. It is one of the few buildings that survived the 2020 CZU Lightning Fire.
What can you tell me about the Green House?	The Green House was originally the home of Swiss dairyman, Ambrogio Gianone, who leased it from James Archibald.It is one of the few buildings that survived the 2020 CZU Lightning Fire.
What can you tell me about the Green House?	Gianone later bought more land, know as Gianone Hill, where there are currently two families with fourth generation children. It is one of the few buildings that survived the 2020 CZU Lightning Fire.
How old is the Cheese House?	The Cheese House was built in 1867.
What was the Cheese House used for?	The Cheese house is used for storing and aging cheese for commercial purposes.
What can you tell me about the Cheese House?	Historical lore has it that the Cheese House was where Monterey Jack Cheese was first developed.
What is that stone building falling down?	The stone building that is falling down is the Cheese House.
Why has the stone building not been fixed?	TBD
Where did Swanton get its name?	The locality and town of Swanton were referred to by a number of names but the name Swanton was solidified in the late 1800s, after Fred Swanton. He was a businessman and mayor of Santa Cruz. He damed a local creek to created a hyroelectric plant to provide Santa Cruz with electriciy. 
What does Una Legua Cuadrada mean in Spanish?	Una Legua Cuadrada means one square league, roughly 4300 acres.
What was the original size of the land grant now know as Swanton?	The original size of the land grant was the traditional Spanish unit of area equal to one square (legua) league, roughly 4,340.28 acres.
What is the official name of Scott Creek? Is it Scott Creek, Scotts or Scott's Creek,	Until recently have scholars started to understand that the group they have referred to as the Ohlone have approximately up to 50 nation groups and language groups.
What group of Indigenous Peoples lived in the Swanton area before Spanish colonization?	Tribal distinctions are now recognized between the Amah Mutsun Tribal Band and the Ohlone/Costanoan Esselen Nation. When referring to the land base of Swanton it is more specifically the ancestral land of the Amah Mutsun.
What group of Indigenous Peoples lived in the Swanton area before Spanish colonization?	The descendants of the Indigenous Peoples that inhabited the area are now referred to as what Swanton identifies as the Amah Mutsun
Why are the Indigenous Peoples of Swanton usually referred to as the Ohlone?	Ethnologists and anthropologists have consistently characterized indigenous Californian cultures simplistically, ignoring complexities and variation. However, anthropologists have now begun a reassessment of groups such as the Ohlone, who inhabited what is now Santa Cruz, and believe their linguistic complexity and cultural continuity make them unique among the indigenous peoples of the North American continent.
Why are the Indigenous Peoples of Swanton usually referred to as the Ohlone?	The Native Americans that lived from Monterey to San Francisco were first referred to as Costanoan (which is missionization Spanish for "coastal peoples") and later as the Ohlone (possibly in reference to the Olijan Rancho near San Francisco).
Why are the Indigenous Peoples of Swanton usually referred to as the Ohlone?	Until recently have scholars started to understand that the group they have referred to as the Ohonline have approximately up to 50 nation groups and language groups.
